"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"C1";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C2";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C3";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C4";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C5";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C6";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C7";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C8";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C9";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C10";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C11";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C12";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C13";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C14";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C15";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C16";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C17";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C18";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C19";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C20";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C21";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C22";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C23";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C24";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C25";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C26";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C27";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C28";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C29";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C30";".47uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C31";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C32";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C33";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C34";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C35";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C36";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C37";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C38";".056uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C39";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C40";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C41";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C42";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C43";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C44";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C45";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C46";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C47";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C48";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C49";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C50";"100uF";"CAP-POLAR";"PANASONIC_D";"Cap Alum Polarized";"";"";"";"";"CAP-10547";"";
"C51";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C52";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C53";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C54";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C55";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C56";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C57";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C58";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C59";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C60";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C61";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C62";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C63";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C64";".01uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C65";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C66";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C67";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C68";"4.7uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C69";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C70";"47uF";"CAP1206";"1206";"Capacitor";"";"";"";"";"";"";
"C71";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"C72";".1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";
"COMP1";"LM331";"LM331";"SOT23-5";"LM331 Single Comparator";"";"";"";"";"";"";
"COMP2";"LM331";"LM331";"SOT23-5";"LM331 Single Comparator";"";"";"";"";"";"";
"COMP3";"LM331";"LM331";"SOT23-5";"LM331 Single Comparator";"";"";"";"";"";"";
"COMP4";"LM331";"LM331";"SOT23-5";"LM331 Single Comparator";"";"";"";"";"";"";
"D1";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";
"D2";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";
"D3";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";
"D5";"DIODE-ZENERDO214AC";"DIODE-ZENERDO214AC";"DO214AC";"Zener Diode";"";"";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"FRAME2";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"FRAME5";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"FRAME6";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"FRAME7";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";
"GEN_3_REV_B";"Spring 2015";"LOGO";"LOGO";"";"";"";"";"";"";"";
"JP1";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";"";"";"";"";"";
"LED9";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED11";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED13";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LED15";"";"LED1206";"LED-1206";"LEDs";"";"";"";"";"";"";
"LIM1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LIM2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LIM3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LIM4";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LOGIC_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"LSS1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LSS2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LSS3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"LSS4";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M1O1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M1O2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M1O3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M2O1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M2O2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M2O3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M3O1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M3O2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M3O3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M4O1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M4O2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"M4O3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"MOTOR1";"MOTORCON";"MOTORCON";"GEN3CON";"Motor Connector";"";"";"";"";"";"";
"MOTOR2";"MOTORCON";"MOTORCON";"GEN3CON";"Motor Connector";"";"";"";"";"";"";
"MOTOR3";"MOTORCON";"MOTORCON";"GEN3CON";"Motor Connector";"";"";"";"";"";"";
"MOTOR4";"MOTORCON";"MOTORCON";"GEN3CON";"Motor Connector";"";"";"";"";"";"";
"OP1";"MCP6291T-E/OT";"MCP6291T-E/OT";"SOT23-5";"Rail to rail OpAmp with 10MHz GBP";"";"";"";"";"IC-11991";"";
"OP2";"MCP6291T-E/OT";"MCP6291T-E/OT";"SOT23-5";"Rail to rail OpAmp with 10MHz GBP";"";"";"";"";"IC-11991";"";
"OP3";"MCP6291T-E/OT";"MCP6291T-E/OT";"SOT23-5";"Rail to rail OpAmp with 10MHz GBP";"";"";"";"";"IC-11991";"";
"OP4";"MCP6291T-E/OT";"MCP6291T-E/OT";"SOT23-5";"Rail to rail OpAmp with 10MHz GBP";"";"";"";"";"IC-11991";"";
"POWER_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"Q1";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q2";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q3";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q4";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q5";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q6";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q9";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q10";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q11";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q12";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q13";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q14";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q17";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q18";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q19";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q20";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q21";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q22";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q25";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q26";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q27";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q28";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q29";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"Q30";"";"N-MOSFET";"DPAK";"N-Channel Power Mosfet";"";"";"";"";"";"";
"QUAD1";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";"";"";"";"";
"QUAD2";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";"";"";"";"";
"QUAD3";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";"";"";"";"";
"QUAD4";"";"M04LOCK";"1X04_LOCK";"Header 4";"";"";"";"";"";"";
"R1";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R2";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R3";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R4";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R5";"40.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R6";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R7";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R8";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R9";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R10";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R11";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R12";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R13";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R14";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R15";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R16";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R17";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R18";"40.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R19";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R20";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R21";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R22";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R23";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R24";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R25";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R26";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R27";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R28";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R29";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R30";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R31";"40.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R32";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R33";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R34";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R35";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R36";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R37";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R38";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R39";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R40";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R41";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R42";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R43";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R44";"40.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R45";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R46";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R47";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R48";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R49";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R50";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R51";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R52";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R53";"47.5";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R54";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R55";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R56";"470k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R57";"3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R58";"3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R59";"3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R60";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R61";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R62";"66.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R63";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R64";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R65";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R66";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R67";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R68";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R69";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R70";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R71";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R72";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R73";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R74";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R75";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R76";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R77";"3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R78";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R79";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R80";"37.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R81";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R82";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R83";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R84";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R85";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R86";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R87";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R88";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R89";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R90";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R91";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R92";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R93";"66.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R94";"37.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R95";"66.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R96";"37.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R97";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R98";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R99";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R100";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R101";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R102";"66.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R103";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R104";"37.5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R105";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R106";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R107";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R108";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R109";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R110";"2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R111";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R112";"30k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R113";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R114";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R115";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R116";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"R117";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";"";
"RSENSE1";".02";"RESISTOR2512";"R2512";"Resistor";"";"";"";"";"";"";
"RSENSE2";".02";"RESISTOR2512";"R2512";"Resistor";"";"";"";"";"";"";
"RSENSE3";".02";"RESISTOR2512";"R2512";"Resistor";"";"";"";"";"";"";
"RSENSE4";".02";"RESISTOR2512";"R2512";"Resistor";"";"";"";"";"";"";
"S1";"SWITCH-MOMENTARY-2SMD-4";"SWITCH-MOMENTARY-2SMD-4";"TACTILE_SWITCH_TALL";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"SWCH-11966";"";
"SENSE1";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"SENSE2";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"SENSE3";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"SENSE4";"TEST_PT";"TEST_PT";"TESTING_PT";"Testing Point";"";"";"";"";"";"";
"SPARE_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"SPI_HEADER";"M10LOCK";"M10LOCK";"1X10_LOCK";"Header 10";"";"";"";"";"";"";
"U$1";"A4915";"A4915";"TSSOP28-GROUNDPAD";"Allegro A4915";"";"";"";"";"";"";
"U$2";"A4915";"A4915";"TSSOP28-GROUNDPAD";"Allegro A4915";"";"";"";"";"";"";
"U$3";"A4915";"A4915";"TSSOP28-GROUNDPAD";"Allegro A4915";"";"";"";"";"";"";
"U$4";"A4915";"A4915";"TSSOP28-GROUNDPAD";"Allegro A4915";"";"";"";"";"";"";
"U$5";"MCP9700SMD";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"";"";"";"";"IC-08917";"";
"U$6";"MCP9700SMD";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"";"";"";"";"IC-08917";"";
"U$7";"MCP9700SMD";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"";"";"";"";"IC-08917";"";
"U$8";"MCP9700SMD";"MCP9700SMD";"SOT23-3";"Analog-output temperature sensor";"";"";"";"";"IC-08917";"";
"U2";"ATMEGA165PV-8AU";"ATMEGA165PV-8AU";"QFP80P1600X1600X120-64N";"8-bit Microcontroller with 16K Bytes In-System Programmable Flash";"ATMEGA165PV-8AU";"1455104";"58M3730";"TQFP-64";"";"Atmel";
